
step 0: train loss 11.0016, val loss 11.0015
iter 368: loss 3.6615, time 342.26ms, mfu 7.40%
iter 369: loss 3.7342, time 437.42ms, mfu 7.30%
iter 370: loss 3.7586, time 340.71ms, mfu 7.40%
iter 371: loss 3.5976, time 428.58ms, mfu 7.31%
iter 372: loss 3.6866, time 339.03ms, mfu 7.41%
iter 373: loss 3.6762, time 429.90ms, mfu 7.32%
iter 374: loss 3.7033, time 338.70ms, mfu 7.42%
iter 375: loss 3.7779, time 434.88ms, mfu 7.32%
iter 376: loss 3.6251, time 343.01ms, mfu 7.41%
iter 377: loss 3.6566, time 432.44ms, mfu 7.31%
iter 378: loss 3.6409, time 340.64ms, mfu 7.41%
iter 379: loss 3.6645, time 433.06ms, mfu 7.31%
iter 380: loss 3.7131, time 340.22ms, mfu 7.41%
iter 381: loss 3.7160, time 428.36ms, mfu 7.32%
iter 382: loss 3.6892, time 344.45ms, mfu 7.40%
iter 383: loss 3.6616, time 433.14ms, mfu 7.31%
iter 384: loss 3.7330, time 337.98ms, mfu 7.41%
iter 385: loss 3.6745, time 435.12ms, mfu 7.31%
iter 386: loss 3.7213, time 339.70ms, mfu 7.41%
iter 387: loss 3.6682, time 430.15ms, mfu 7.32%
iter 388: loss 3.6593, time 341.67ms, mfu 7.41%
iter 389: loss 3.7340, time 433.96ms, mfu 7.31%
iter 390: loss 3.6776, time 340.50ms, mfu 7.41%
iter 391: loss 3.6318, time 430.55ms, mfu 7.32%
iter 392: loss 3.6503, time 344.76ms, mfu 7.40%
iter 393: loss 3.6773, time 433.63ms, mfu 7.31%
iter 394: loss 3.6365, time 336.35ms, mfu 7.41%
iter 395: loss 3.6840, time 436.47ms, mfu 7.31%
iter 396: loss 3.7059, time 338.04ms, mfu 7.41%
iter 397: loss 3.6877, time 433.80ms, mfu 7.32%
iter 398: loss 3.7225, time 344.03ms, mfu 7.40%
iter 399: loss 3.7023, time 432.19ms, mfu 7.31%
iter 400: loss 3.6147, time 339.91ms, mfu 7.40%
iter 401: loss 3.7668, time 433.48ms, mfu 7.31%
iter 402: loss 3.6563, time 343.51ms, mfu 7.40%
iter 403: loss 3.6939, time 430.44ms, mfu 7.31%
iter 404: loss 3.7117, time 338.66ms, mfu 7.41%
iter 405: loss 3.7329, time 434.50ms, mfu 7.31%
iter 406: loss 3.6383, time 342.62ms, mfu 7.40%
iter 407: loss 3.5845, time 427.78ms, mfu 7.31%
iter 408: loss 3.6504, time 341.93ms, mfu 7.40%
iter 409: loss 3.6760, time 435.90ms, mfu 7.31%
iter 410: loss 3.6525, time 335.93ms, mfu 7.41%
iter 411: loss 3.6324, time 432.37ms, mfu 7.32%
iter 412: loss 3.7250, time 339.85ms, mfu 7.41%
iter 413: loss 3.6503, time 431.99ms, mfu 7.32%
iter 414: loss 3.6197, time 337.99ms, mfu 7.42%
iter 415: loss 3.5934, time 435.12ms, mfu 7.32%
iter 416: loss 3.6476, time 338.10ms, mfu 7.42%
iter 417: loss 3.7100, time 431.27ms, mfu 7.33%
iter 418: loss 3.6646, time 340.08ms, mfu 7.42%
iter 419: loss 3.5986, time 431.69ms, mfu 7.33%
iter 420: loss 3.7227, time 339.96ms, mfu 7.42%
iter 421: loss 3.6076, time 436.80ms, mfu 7.32%
iter 422: loss 3.6895, time 341.44ms, mfu 7.41%
iter 423: loss 3.6978, time 434.04ms, mfu 7.32%
iter 424: loss 3.7054, time 336.54ms, mfu 7.42%
