
step 0: train loss 11.0016, val loss 11.0015
iter 299: loss 3.7291, time 1272.97ms, mfu 2.20%
iter 300: loss 3.7879, time 1276.76ms, mfu 2.20%
iter 301: loss 3.7071, time 1274.57ms, mfu 2.20%
iter 302: loss 3.8036, time 1277.59ms, mfu 2.20%
iter 303: loss 3.8382, time 1272.79ms, mfu 2.20%
iter 304: loss 3.7686, time 1272.73ms, mfu 2.20%
iter 305: loss 3.7452, time 1272.91ms, mfu 2.20%
iter 306: loss 3.6431, time 1275.62ms, mfu 2.20%
iter 307: loss 3.6980, time 1274.46ms, mfu 2.20%
iter 308: loss 3.6028, time 1275.14ms, mfu 2.20%
iter 309: loss 3.7180, time 1274.32ms, mfu 2.20%
iter 310: loss 3.7037, time 1274.25ms, mfu 2.20%
iter 311: loss 3.6058, time 1274.29ms, mfu 2.20%
iter 312: loss 3.8297, time 1278.89ms, mfu 2.20%
iter 313: loss 3.7450, time 1277.71ms, mfu 2.20%
iter 314: loss 3.6898, time 1275.90ms, mfu 2.20%
iter 315: loss 3.8172, time 1274.61ms, mfu 2.20%
iter 316: loss 3.7297, time 1278.24ms, mfu 2.20%
iter 317: loss 3.8011, time 1274.76ms, mfu 2.20%
iter 318: loss 3.6491, time 1274.75ms, mfu 2.20%
iter 319: loss 3.7597, time 1273.85ms, mfu 2.20%
iter 320: loss 3.7873, time 1278.40ms, mfu 2.20%
iter 321: loss 3.7253, time 1272.51ms, mfu 2.20%
iter 322: loss 3.7621, time 1276.37ms, mfu 2.20%
iter 323: loss 3.8122, time 1277.44ms, mfu 2.20%
iter 324: loss 3.7401, time 1277.57ms, mfu 2.20%
iter 325: loss 3.7710, time 1277.45ms, mfu 2.20%
iter 326: loss 3.7021, time 1275.30ms, mfu 2.20%
iter 327: loss 3.7130, time 1274.86ms, mfu 2.20%
iter 328: loss 3.6446, time 1274.18ms, mfu 2.20%
iter 329: loss 3.7681, time 1275.50ms, mfu 2.20%
iter 330: loss 3.7739, time 1289.80ms, mfu 2.20%
iter 331: loss 3.6574, time 1272.50ms, mfu 2.20%
iter 332: loss 3.6679, time 1274.63ms, mfu 2.20%
iter 333: loss 3.7204, time 1276.34ms, mfu 2.20%
iter 334: loss 3.7364, time 1275.86ms, mfu 2.20%
iter 335: loss 3.7948, time 1273.96ms, mfu 2.20%
iter 336: loss 3.8344, time 1276.74ms, mfu 2.20%
iter 337: loss 3.7179, time 1276.53ms, mfu 2.20%
iter 338: loss 3.6650, time 1276.41ms, mfu 2.20%
iter 339: loss 3.7137, time 1275.59ms, mfu 2.20%
iter 340: loss 3.7632, time 1277.79ms, mfu 2.20%
iter 341: loss 3.7237, time 1278.23ms, mfu 2.20%
iter 342: loss 3.7292, time 1273.03ms, mfu 2.20%
iter 343: loss 3.7271, time 1276.10ms, mfu 2.20%
iter 344: loss 3.6397, time 1277.19ms, mfu 2.20%
iter 345: loss 3.7145, time 1274.38ms, mfu 2.20%
iter 346: loss 3.6961, time 1272.89ms, mfu 2.20%
