
step 0: train loss 11.0016, val loss 11.0015
iter 310: loss 3.7034, time 325.06ms, mfu 7.69%
iter 311: loss 3.6036, time 422.17ms, mfu 7.58%
iter 312: loss 3.8303, time 326.90ms, mfu 7.68%
iter 313: loss 3.7449, time 418.09ms, mfu 7.58%
iter 314: loss 3.6908, time 325.04ms, mfu 7.69%
iter 315: loss 3.8188, time 420.74ms, mfu 7.59%
iter 316: loss 3.7294, time 327.86ms, mfu 7.68%
iter 317: loss 3.7996, time 425.15ms, mfu 7.58%
iter 318: loss 3.6469, time 325.31ms, mfu 7.68%
iter 319: loss 3.7607, time 420.21ms, mfu 7.58%
iter 320: loss 3.7871, time 333.92ms, mfu 7.66%
iter 321: loss 3.7249, time 418.48ms, mfu 7.57%
iter 322: loss 3.7625, time 322.50ms, mfu 7.68%
iter 323: loss 3.8120, time 423.24ms, mfu 7.57%
iter 324: loss 3.7405, time 327.35ms, mfu 7.67%
iter 325: loss 3.7735, time 419.96ms, mfu 7.57%
iter 326: loss 3.7109, time 327.45ms, mfu 7.67%
iter 327: loss 3.7180, time 417.27ms, mfu 7.58%
iter 328: loss 3.6464, time 322.35ms, mfu 7.69%
iter 329: loss 3.7729, time 422.80ms, mfu 7.59%
iter 330: loss 3.7765, time 325.93ms, mfu 7.69%
iter 331: loss 3.6570, time 424.28ms, mfu 7.58%
iter 332: loss 3.6609, time 329.24ms, mfu 7.67%
iter 333: loss 3.7211, time 421.25ms, mfu 7.57%
iter 334: loss 3.7329, time 324.02ms, mfu 7.68%
iter 335: loss 3.7937, time 425.06ms, mfu 7.57%
iter 336: loss 3.8306, time 326.74ms, mfu 7.67%
iter 337: loss 3.7171, time 416.11ms, mfu 7.58%
iter 338: loss 3.6651, time 325.37ms, mfu 7.69%
iter 339: loss 3.7094, time 419.85ms, mfu 7.58%
iter 340: loss 3.7621, time 324.78ms, mfu 7.69%
iter 341: loss 3.7233, time 424.89ms, mfu 7.58%
iter 342: loss 3.7291, time 327.93ms, mfu 7.68%
iter 343: loss 3.7262, time 421.63ms, mfu 7.58%
iter 344: loss 3.6392, time 327.09ms, mfu 7.68%
iter 345: loss 3.7137, time 419.57ms, mfu 7.58%
iter 346: loss 3.6947, time 322.44ms, mfu 7.69%
iter 347: loss 3.6935, time 421.73ms, mfu 7.59%
iter 348: loss 3.7050, time 324.06ms, mfu 7.69%
iter 349: loss 3.7845, time 421.44ms, mfu 7.59%
iter 350: loss 3.6925, time 329.91ms, mfu 7.68%
iter 351: loss 3.7853, time 428.10ms, mfu 7.57%
iter 352: loss 3.7385, time 337.65ms, mfu 7.64%
iter 353: loss 3.6990, time 423.68ms, mfu 7.54%
iter 354: loss 3.7247, time 326.58ms, mfu 7.65%
iter 355: loss 3.6937, time 417.98ms, mfu 7.55%
iter 356: loss 3.6646, time 329.43ms, mfu 7.65%
iter 357: loss 3.7320, time 419.51ms, mfu 7.55%
iter 358: loss 3.7034, time 326.45ms, mfu 7.66%
iter 359: loss 3.7037, time 423.45ms, mfu 7.55%
iter 360: loss 3.6977, time 321.96ms, mfu 7.67%
iter 361: loss 3.7955, time 424.60ms, mfu 7.56%
iter 362: loss 3.7882, time 328.06ms, mfu 7.66%
iter 363: loss 3.6570, time 420.89ms, mfu 7.56%
iter 364: loss 3.6658, time 324.26ms, mfu 7.67%
iter 365: loss 3.7351, time 425.94ms, mfu 7.56%
iter 366: loss 3.6434, time 325.33ms, mfu 7.67%
iter 367: loss 3.7179, time 417.77ms, mfu 7.57%
iter 368: loss 3.6613, time 329.58ms, mfu 7.67%
iter 369: loss 3.7352, time 418.90ms, mfu 7.57%
iter 370: loss 3.7612, time 323.71ms, mfu 7.68%
iter 371: loss 3.5996, time 424.10ms, mfu 7.57%
iter 372: loss 3.6872, time 324.55ms, mfu 7.68%
iter 373: loss 3.6774, time 414.75ms, mfu 7.59%
iter 374: loss 3.7036, time 332.04ms, mfu 7.67%
iter 375: loss 3.7794, time 421.94ms, mfu 7.57%
iter 376: loss 3.6271, time 324.31ms, mfu 7.68%
iter 377: loss 3.6555, time 421.78ms, mfu 7.58%
iter 378: loss 3.6396, time 326.80ms, mfu 7.68%
iter 379: loss 3.6665, time 419.99ms, mfu 7.58%
iter 380: loss 3.7135, time 329.08ms, mfu 7.67%
iter 381: loss 3.7165, time 420.47ms, mfu 7.57%
iter 382: loss 3.6910, time 323.28ms, mfu 7.68%
iter 383: loss 3.6639, time 424.55ms, mfu 7.58%
iter 384: loss 3.7384, time 328.33ms, mfu 7.67%
iter 385: loss 3.6738, time 414.06ms, mfu 7.58%
iter 386: loss 3.7266, time 328.61ms, mfu 7.68%
iter 387: loss 3.6684, time 420.42ms, mfu 7.58%
iter 388: loss 3.6646, time 322.32ms, mfu 7.69%
iter 389: loss 3.7326, time 422.15ms, mfu 7.59%
iter 390: loss 3.6819, time 327.92ms, mfu 7.68%
iter 391: loss 3.6323, time 416.03ms, mfu 7.59%
iter 392: loss 3.6572, time 330.23ms, mfu 7.68%
iter 393: loss 3.6774, time 424.69ms, mfu 7.57%
iter 394: loss 3.6386, time 324.64ms, mfu 7.68%
iter 395: loss 3.6851, time 424.73ms, mfu 7.57%
iter 396: loss 3.7085, time 324.49ms, mfu 7.68%
iter 397: loss 3.6890, time 417.22ms, mfu 7.58%
iter 398: loss 3.7247, time 326.63ms, mfu 7.68%
iter 399: loss 3.7022, time 416.54ms, mfu 7.59%
iter 400: loss 3.6131, time 323.49ms, mfu 7.70%
iter 401: loss 3.7672, time 421.84ms, mfu 7.59%
iter 402: loss 3.6583, time 326.33ms, mfu 7.69%
iter 403: loss 3.6915, time 418.65ms, mfu 7.59%
iter 404: loss 3.7112, time 327.92ms, mfu 7.69%
iter 405: loss 3.7347, time 420.02ms, mfu 7.59%
iter 406: loss 3.6373, time 322.56ms, mfu 7.70%
iter 407: loss 3.5877, time 421.68ms, mfu 7.60%
iter 408: loss 3.6524, time 325.17ms, mfu 7.70%
iter 409: loss 3.6776, time 420.62ms, mfu 7.60%
iter 410: loss 3.6539, time 328.09ms, mfu 7.69%
iter 411: loss 3.6356, time 423.23ms, mfu 7.58%
iter 412: loss 3.7249, time 322.65ms, mfu 7.70%
iter 413: loss 3.6520, time 421.55ms, mfu 7.59%
iter 414: loss 3.6132, time 323.97ms, mfu 7.70%
iter 415: loss 3.5824, time 425.31ms, mfu 7.59%
iter 416: loss 3.6471, time 326.81ms, mfu 7.69%
