
step 0: train loss 4.5682, val loss 4.4975
iter 294: loss 2.0636, time 141.09ms, mfu 14.44%
iter 295: loss 1.9895, time 140.93ms, mfu 14.45%
iter 296: loss 2.0573, time 141.08ms, mfu 14.46%
iter 297: loss 2.0941, time 141.71ms, mfu 14.46%
iter 298: loss 1.9897, time 141.41ms, mfu 14.46%
iter 299: loss 1.9859, time 141.49ms, mfu 14.46%
iter 300: loss 1.7816, time 142.51ms, mfu 14.45%
iter 301: loss 2.1697, time 141.09ms, mfu 14.45%
iter 302: loss 1.9190, time 141.57ms, mfu 14.45%
iter 303: loss 1.8247, time 140.31ms, mfu 14.46%
iter 304: loss 2.0365, time 141.54ms, mfu 14.46%
iter 305: loss 2.0549, time 143.41ms, mfu 14.44%
iter 306: loss 1.9511, time 138.52ms, mfu 14.48%
iter 307: loss 1.9069, time 142.59ms, mfu 14.46%
iter 308: loss 2.1916, time 142.66ms, mfu 14.45%
iter 309: loss 2.2081, time 141.49ms, mfu 14.45%
iter 310: loss 2.0707, time 140.47ms, mfu 14.46%
iter 311: loss 2.1938, time 142.29ms, mfu 14.46%
iter 312: loss 2.0028, time 141.60ms, mfu 14.45%
iter 313: loss 1.9754, time 140.65ms, mfu 14.46%
iter 314: loss 1.9785, time 143.32ms, mfu 14.44%
iter 315: loss 1.9712, time 142.50ms, mfu 14.44%
iter 316: loss 1.9616, time 142.01ms, mfu 14.43%
iter 317: loss 1.8375, time 139.32ms, mfu 14.46%
iter 318: loss 2.0556, time 141.29ms, mfu 14.46%
iter 319: loss 1.9815, time 140.79ms, mfu 14.47%
iter 320: loss 1.7666, time 140.77ms, mfu 14.47%
iter 321: loss 1.8424, time 144.08ms, mfu 14.45%
iter 322: loss 2.0737, time 140.84ms, mfu 14.45%
iter 323: loss 2.0023, time 140.90ms, mfu 14.46%
iter 324: loss 1.9030, time 141.39ms, mfu 14.46%
iter 325: loss 2.0416, time 140.84ms, mfu 14.47%
iter 326: loss 2.2235, time 141.93ms, mfu 14.46%
iter 327: loss 2.1442, time 140.48ms, mfu 14.47%
iter 328: loss 1.9152, time 142.65ms, mfu 14.46%
iter 329: loss 1.9623, time 142.88ms, mfu 14.45%
iter 330: loss 1.9879, time 142.24ms, mfu 14.44%
iter 331: loss 2.0016, time 140.31ms, mfu 14.45%
iter 332: loss 1.9730, time 142.27ms, mfu 14.45%
iter 333: loss 1.9407, time 140.16ms, mfu 14.46%
iter 334: loss 1.8910, time 141.29ms, mfu 14.46%
iter 335: loss 1.8939, time 143.69ms, mfu 14.44%
iter 336: loss 1.8998, time 142.48ms, mfu 14.43%
iter 337: loss 1.9105, time 142.07ms, mfu 14.43%
iter 338: loss 1.9847, time 140.98ms, mfu 14.44%
iter 339: loss 2.1176, time 141.68ms, mfu 14.44%
iter 340: loss 2.0299, time 141.32ms, mfu 14.44%
iter 341: loss 2.0185, time 141.28ms, mfu 14.45%
iter 342: loss 2.0563, time 141.68ms, mfu 14.45%
iter 343: loss 1.8833, time 142.11ms, mfu 14.44%
iter 344: loss 1.9527, time 141.59ms, mfu 14.44%
iter 345: loss 1.9626, time 142.08ms, mfu 14.44%
iter 346: loss 2.1656, time 140.19ms, mfu 14.45%
iter 347: loss 2.1440, time 141.73ms, mfu 14.45%
iter 348: loss 2.1961, time 142.09ms, mfu 14.45%
iter 349: loss 2.0468, time 140.55ms, mfu 14.46%
iter 350: loss 1.9555, time 143.22ms, mfu 14.44%
iter 351: loss 2.1771, time 143.72ms, mfu 14.42%
iter 352: loss 2.1051, time 140.01ms, mfu 14.44%
iter 353: loss 2.1978, time 141.95ms, mfu 14.44%
iter 354: loss 2.0662, time 141.45ms, mfu 14.44%
iter 355: loss 2.0139, time 140.32ms, mfu 14.45%
iter 356: loss 2.0052, time 142.76ms, mfu 14.44%
iter 357: loss 2.0253, time 142.16ms, mfu 14.44%
iter 358: loss 1.8248, time 141.39ms, mfu 14.44%
iter 359: loss 1.8553, time 141.02ms, mfu 14.45%
iter 360: loss 1.8641, time 141.96ms, mfu 14.44%
iter 361: loss 1.8811, time 140.85ms, mfu 14.45%
iter 362: loss 2.0213, time 141.14ms, mfu 14.46%
iter 363: loss 2.0041, time 142.14ms, mfu 14.45%
iter 364: loss 2.1051, time 140.60ms, mfu 14.46%
iter 365: loss 2.2469, time 141.31ms, mfu 14.46%
iter 366: loss 1.8863, time 141.71ms, mfu 14.46%
iter 367: loss 2.0188, time 141.85ms, mfu 14.46%
iter 368: loss 1.9837, time 142.27ms, mfu 14.45%
iter 369: loss 2.0244, time 140.93ms, mfu 14.45%
iter 370: loss 1.9496, time 140.81ms, mfu 14.46%
iter 371: loss 1.9130, time 143.24ms, mfu 14.44%
iter 372: loss 2.0097, time 141.67ms, mfu 14.44%
iter 373: loss 2.1555, time 141.36ms, mfu 14.45%
iter 374: loss 2.1488, time 141.11ms, mfu 14.45%
iter 375: loss 2.0357, time 141.72ms, mfu 14.45%
iter 376: loss 1.9841, time 143.89ms, mfu 14.43%
iter 377: loss 1.9765, time 140.94ms, mfu 14.44%
iter 378: loss 1.8961, time 142.54ms, mfu 14.43%
iter 379: loss 1.8391, time 142.43ms, mfu 14.42%
iter 380: loss 1.8601, time 141.09ms, mfu 14.43%
iter 381: loss 2.0480, time 142.33ms, mfu 14.42%
iter 382: loss 2.0800, time 142.05ms, mfu 14.42%
iter 383: loss 1.7815, time 140.85ms, mfu 14.43%
iter 384: loss 1.9247, time 140.68ms, mfu 14.44%
iter 385: loss 2.2382, time 143.22ms, mfu 14.43%
iter 386: loss 2.1379, time 140.66ms, mfu 14.44%
iter 387: loss 2.1425, time 141.35ms, mfu 14.44%
iter 388: loss 1.8118, time 144.14ms, mfu 14.42%
iter 389: loss 1.9072, time 141.36ms, mfu 14.42%
iter 390: loss 1.7688, time 141.94ms, mfu 14.42%
iter 391: loss 1.8227, time 141.07ms, mfu 14.43%
iter 392: loss 2.1676, time 143.08ms, mfu 14.42%
iter 393: loss 1.7483, time 140.98ms, mfu 14.43%
iter 394: loss 1.6396, time 141.10ms, mfu 14.43%
iter 395: loss 1.7980, time 141.44ms, mfu 14.44%
iter 396: loss 1.7163, time 141.79ms, mfu 14.44%
iter 397: loss 1.9928, time 141.81ms, mfu 14.44%
iter 398: loss 1.8033, time 140.05ms, mfu 14.45%
